team,L3,Year
Washington,230.0,343.8
Oregon,356.3,339.6
LSU,340.0,335.7
USC,334.0,329.8
Washington St,339.0,323.0
Oklahoma,349.0,321.8
TCU,359.0,312.1
North Carolina,268.3,305.8
Arizona,355.3,305.6
Georgia So,287.3,304.7
N Texas,312.7,302.9
Georgia,244.7,297.8
Memphis,327.0,297.6
J Madison,356.7,297.3
Colorado,217.0,294.7
Colorado St,268.7,291.3
UAB,245.7,288.7
Texas,323.7,286.8
Fresno St,251.0,285.3
Maryland,297.0,285.0
W Kentucky,331.7,283.1
Texas St,271.7,280.5
Temple,311.0,279.8
Hawai'i,266.7,277.3
SMU,286.0,277.0
Missouri,239.3,276.5
Baylor,220.3,275.9
Ohio St,281.0,275.7
App State,260.7,275.4
Louisiana Tech,316.0,274.5
S Florida,306.0,274.0
Troy,243.3,272.8
Illinois,356.7,266.3
Coastal Car,230.7,266.2
S Alabama,246.7,265.3
Rice,192.0,265.1
Utah St,196.3,264.2
Middle Tenn,268.7,263.3
Texas A&M,249.7,261.4
South Carolina,223.3,261.2
Oklahoma St,306.3,260.9
Florida,212.0,259.4
Florida St,151.3,258.3
Miami,273.7,256.7
Mississippi,213.3,254.1
Tennessee,287.7,253.1
Virginia,278.3,252.5
Oregon St,236.7,252.0
UCF,266.7,250.9
UTSA,266.3,249.8
UNLV,265.7,244.2
Houston,176.7,241.4
Notre Dame,199.7,239.7
Iowa St,254.0,238.5
Kansas St,240.3,236.1
Louisville,220.3,235.5
Stanford,215.3,235.4
Arkansas St,215.0,231.0
UCLA,231.3,230.8
UTEP,266.3,228.9
California,252.0,227.9
Texas Tech,200.0,226.2
Alabama,245.3,225.9
Georgia Tech,144.3,224.9
UMass,214.7,224.1
Florida Intl,248.0,223.6
Vanderbilt,166.0,221.3
Sam Houston,246.3,220.5
San Jose St,189.7,220.4
Tulane,205.0,219.4
Marshall,191.3,218.8
Michigan,156.7,218.8
Boise St,190.3,218.2
Kansas,183.0,217.8
Louisiana,227.7,216.2
W Michigan,212.7,214.9
New Mexico,195.0,212.3
Liberty,190.7,212.0
Ohio,185.7,211.8
Purdue,222.0,211.2
Pittsburgh,227.0,210.7
Toledo,216.3,210.7
Virginia Tech,236.7,210.7
Florida Atlantic,160.3,209.6
Clemson,174.7,209.1
Arizona St,154.3,208.0
Wisconsin,186.7,207.1
Northwestern,219.7,206.4
Penn St,155.0,202.4
Georgia St,180.3,202.0
New Mexico St,216.3,201.9
Indiana,235.7,200.4
Tulsa,301.0,199.9
Kentucky,178.3,195.1
West Virginia,211.0,193.7
BYU,166.7,192.5
Akron,187.3,191.4
NC State,221.7,190.1
Boston College,153.3,190.1
UConn,211.7,189.4
Old Dominion,193.7,189.2
Cincinnati,155.3,188.2
Michigan St,140.3,187.5
Wake Forest,171.7,183.9
C Michigan,197.7,182.9
UL Monroe,131.7,181.8
Southern Miss,144.7,181.1
San Diego St,144.7,179.6
Arkansas,140.0,179.6
Buffalo,167.3,178.0
Mississippi St,151.7,177.7
Nevada,180.3,177.6
N Illinois,141.0,176.2
Duke,242.0,174.7
Jacksonville St,196.7,174.7
Utah,216.0,171.8
Charlotte,135.7,171.6
Bowling Green,274.3,169.1
Miami OH,107.7,164.3
Wyoming,220.0,164.2
Kent St,199.0,163.1
E Carolina,165.0,162.1
E Michigan,156.3,157.1
Syracuse,98.0,153.4
Minnesota,182.7,153.2
Auburn,134.7,140.5
Rutgers,129.3,139.5
Ball St,98.0,136.5
Nebraska,148.0,135.9
Iowa,127.0,123.2
Navy,117.3,100.5
Army,31.3,91.7
Air Force,101.7,87.7
